ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Prototucanoan-53-grape-1,,Prototucanoan,53-grape,*ɨʔje,ɨ.ʔj.e,ɨ ˀj e,,Chacon2014,,,^ ɨ . ʔj . e $,default
Barasano-59-heron-1,,Barasano,59-heron,jehe,j.e.h.e,j e h e,,Chacon2014,,,^ j . e . h . e $,default
Desano-59-heron-1,,Desano,59-heron,jahi,j.a.h.i,j a h i,,Chacon2014,,,^ j . a . h . i $,default
Karapan-59-heron-1,,Karapan,59-heron,jee,j.e.e,j e e,,Chacon2014,,,^ j . e . e $,default
Kubeo-59-heron-1,,Kubeo,59-heron,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Maihiki-59-heron-1,,Maihiki,59-heron,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Sekoya-59-heron-1,,Sekoya,59-heron,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Tukano-59-heron-1,,Tukano,59-heron,jahe,j.a.h.e,j a h e,,Chacon2014,,,^ j . a . h . e $,default
Tuyuka-59-heron-1,,Tuyuka,59-heron,yee,j.e.e,j e e,,Chacon2014,,,^ j . e . e $,default
Wanano-59-heron-1,,Wanano,59-heron,jaha,j.a.h.a,j a h a,,Chacon2014,,,^ j . a . h . a $,default
Prototucanoan-59-heron-1,,Prototucanoan,59-heron,*jahi,j.a.h.i,j a h i,,Chacon2014,,,^ j . a . h . i $,default
Barasano-67-jaguar-1,,Barasano,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Desano-67-jaguar-1,,Desano,67-jaguar,jee,j.e.e,j e e,,Chacon2014,,,^ j . e . e $,default
Karapan-67-jaguar-1,,Karapan,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Koreguahe-67-jaguar-1,,Koreguahe,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Kubeo-67-jaguar-1,,Kubeo,67-jaguar,jawi,j.a.w.i,j a w i,,Chacon2014,,,^ j . a . w . i $,default
